,CH1(Unit:V),CH2(Unit:V)
Frequency:,?,?
Period:,?,?
PK-PK:,15.4V,3.26V
1,15.120,3.300
2,15.120,3.300
3,15.120,3.300
4,15.120,3.300
5,15.120,3.300
6,15.120,3.300
7,15.120,3.300
8,15.120,3.300
9,15.120,3.300
10,15.120,3.300
11,15.120,3.320
12,15.120,3.320
13,15.120,3.300
14,15.120,3.300
15,15.120,3.320
16,15.120,3.320
17,15.120,3.300
18,15.120,3.300
19,15.120,3.300
20,15.120,3.300
21,15.120,3.300
22,15.120,3.300
23,15.120,3.300
24,15.120,3.300
25,15.120,3.300
26,15.120,3.300
27,15.120,3.300
28,15.120,3.300
29,15.120,3.320
30,15.120,3.320
31,15.120,3.300
32,15.120,3.300
33,15.120,3.300
34,15.120,3.300
35,15.120,3.300
36,15.120,3.300
37,15.120,3.300
38,15.120,3.300
39,15.120,3.300
40,15.120,3.300
41,15.120,3.300
42,15.120,3.300
43,15.120,3.320
44,15.120,3.320
45,15.120,3.300
46,15.120,3.300
47,15.120,3.300
48,15.120,3.300
49,15.120,0.080
50,15.120,0.080
51,15.120,0.080
52,15.120,0.080
53,15.120,0.080
54,15.120,0.080
55,15.120,0.080
56,15.120,0.080
57,15.120,0.080
58,15.120,0.080
59,15.120,0.080
60,15.120,0.080
61,15.120,0.120
62,15.120,0.120
63,15.120,0.080
64,15.120,0.080
65,15.120,0.080
66,15.120,0.080
67,15.120,0.080
68,15.120,0.080
69,15.120,0.100
70,15.120,0.100
71,15.120,0.080
72,15.120,0.080
73,15.120,0.120
74,15.120,0.120
75,15.120,0.080
76,15.120,0.080
77,15.120,0.080
78,15.120,0.080
79,15.120,0.080
80,15.120,0.080
81,15.120,0.080
82,15.120,0.080
83,15.120,0.080
84,15.120,0.080
85,15.120,0.080
86,15.120,0.080
87,15.120,0.120
88,15.120,0.120
89,15.120,0.080
90,15.120,0.080
91,15.120,0.080
92,15.120,0.080
93,15.120,0.100
94,15.120,0.100
95,15.120,0.080
96,15.120,0.080
97,15.120,0.080
98,15.120,0.080
99,15.120,0.080
100,15.120,0.080
101,15.120,0.100
102,15.120,0.100
103,15.120,0.100
104,15.120,0.100
105,15.120,0.080
106,15.120,0.080
107,15.120,0.080
108,15.120,0.080
109,15.120,0.080
110,15.120,0.080
111,15.120,0.080
112,15.120,0.080
113,15.120,0.080
114,15.120,0.080
115,15.120,0.100
116,15.120,0.100
117,15.120,0.080
118,15.120,0.080
119,15.120,0.080
120,15.120,0.080
121,15.120,0.100
122,15.120,0.100
123,15.120,0.080
124,15.120,0.080
125,15.120,0.080
126,15.120,0.080
127,15.120,0.080
128,15.120,0.080
129,15.120,0.080
130,15.120,0.080
131,15.120,0.120
132,15.120,0.120
133,15.120,0.080
134,15.120,0.080
135,15.120,0.080
136,15.120,0.080
137,15.120,0.080
138,15.120,0.080
139,15.120,0.080
140,15.120,0.080
141,15.120,0.080
142,15.120,0.080
143,15.120,0.080
144,15.120,0.080
145,15.120,0.080
146,15.120,0.080
147,15.120,0.080
148,15.120,0.080
149,15.120,0.080
150,15.120,0.080
151,15.120,0.100
152,15.120,0.100
153,15.120,0.080
154,15.120,0.080
155,15.120,0.080
156,15.120,0.080
157,15.120,0.080
158,15.120,0.080
159,15.120,0.120
160,15.120,0.120
161,15.120,0.080
162,15.120,0.080
163,15.120,0.080
164,15.120,0.080
165,15.120,0.080
166,15.120,0.080
167,15.120,0.080
168,15.120,0.080
169,15.120,0.120
170,15.120,0.120
171,15.120,0.080
172,15.120,0.080
173,15.120,0.120
174,15.120,0.120
175,15.120,0.080
176,15.120,0.080
177,15.120,0.080
178,15.120,0.080
179,15.120,0.080
180,15.120,0.080
181,15.120,0.080
182,15.120,0.080
183,15.120,0.080
184,15.120,0.080
185,15.120,0.080
186,15.120,0.080
187,15.120,0.080
188,15.120,0.080
189,15.120,0.080
190,15.120,0.080
191,15.120,0.080
192,15.120,0.080
193,15.120,0.080
194,15.120,0.080
195,15.120,0.080
196,15.120,0.080
197,15.120,0.080
198,15.120,0.080
199,15.120,0.080
200,15.120,0.080
201,15.120,0.080
202,15.120,0.080
203,15.120,0.080
204,15.120,0.080
205,15.120,0.080
206,15.120,0.080
207,15.120,0.080
208,15.120,0.080
209,15.120,0.080
210,15.120,0.080
211,15.120,0.080
212,15.120,0.080
213,15.120,0.080
214,15.120,0.080
215,15.120,0.080
216,15.120,0.080
217,15.120,0.100
218,15.120,0.100
219,15.120,0.080
220,15.120,0.080
221,15.120,0.080
222,15.120,0.080
223,15.120,0.080
224,15.120,0.080
225,15.120,0.080
226,15.120,0.080
227,15.120,0.080
228,15.120,0.080
229,15.120,0.080
230,15.120,0.080
231,15.120,0.120
232,15.120,0.120
233,15.120,0.080
234,15.120,0.080
235,15.120,0.080
236,15.120,0.080
237,15.120,0.080
238,15.120,0.080
239,15.120,0.080
240,15.120,0.080
241,15.120,0.080
242,15.120,0.080
243,15.120,0.080
244,15.120,0.080
245,15.120,0.080
246,15.120,0.080
247,15.120,0.080
248,15.120,0.080
249,15.120,0.080
250,15.120,0.080
251,15.120,0.080
252,15.120,0.080
253,15.120,0.080
254,15.120,0.080
255,15.120,0.080
256,15.120,0.080
257,15.120,0.080
258,15.120,0.080
259,15.120,0.080
260,15.120,0.080
261,15.120,0.080
262,15.120,0.080
263,15.120,0.080
264,15.120,0.080
265,15.120,0.080
266,15.120,0.080
267,15.120,0.080
268,15.120,0.080
269,15.120,0.080
270,15.120,0.080
271,15.120,0.080
272,15.120,0.080
273,15.120,0.080
274,15.120,0.080
275,15.120,0.080
276,15.120,0.080
277,15.120,0.080
278,15.120,0.080
279,15.120,0.080
280,15.120,0.080
281,15.120,0.080
282,15.120,0.080
283,15.120,0.080
284,15.120,0.080
285,15.120,0.100
286,15.120,0.100
287,15.120,0.080
288,15.120,0.080
289,15.120,0.080
290,15.120,0.080
291,15.120,0.080
292,15.120,0.080
293,15.120,0.080
294,15.120,0.080
295,15.120,0.080
296,15.120,0.080
297,15.120,0.080
298,15.120,0.080
299,15.120,0.080
300,15.120,0.080
301,15.120,0.080
302,15.120,0.080
303,15.040,0.080
304,15.040,0.080
305,14.960,0.080
306,14.960,0.080
307,14.960,0.080
308,14.960,0.080
309,14.960,0.080
310,14.960,0.080
311,14.960,0.100
312,14.960,0.100
313,14.960,0.080
314,14.960,0.080
315,14.960,0.080
316,14.960,0.080
317,14.960,0.080
318,14.960,0.080
319,14.880,0.100
320,14.880,0.100
321,14.880,0.080
322,14.880,0.080
323,14.880,0.080
324,14.880,0.080
325,14.880,0.080
326,14.880,0.080
327,14.720,0.080
328,14.720,0.080
329,14.720,0.080
330,14.720,0.080
331,14.640,0.080
332,14.640,0.080
333,14.560,0.080
334,14.560,0.080
335,14.560,0.080
336,14.560,0.080
337,14.560,0.060
338,14.560,0.060
339,14.480,0.080
340,14.480,0.080
341,14.400,0.080
342,14.400,0.080
343,14.400,0.080
344,14.400,0.080
345,14.400,0.080
346,14.400,0.080
347,14.320,0.080
348,14.320,0.080
349,14.240,0.080
350,14.240,0.080
351,14.240,0.080
352,14.240,0.080
353,14.160,0.080
354,14.160,0.080
355,14.160,0.080
356,14.160,0.080
357,14.160,0.080
358,14.160,0.080
359,14.000,0.080
360,14.000,0.080
361,13.840,0.080
362,13.840,0.080
363,13.840,0.080
364,13.840,0.080
365,13.760,0.100
366,13.760,0.100
367,13.600,0.080
368,13.600,0.080
369,13.440,0.080
370,13.440,0.080
371,13.360,0.080
372,13.360,0.080
373,13.280,0.080
374,13.280,0.080
375,12.960,0.080
376,12.960,0.080
377,12.800,0.120
378,12.800,0.120
379,12.640,0.080
380,12.640,0.080
381,12.400,0.080
382,12.400,0.080
383,12.160,0.080
384,12.160,0.080
385,11.920,0.080
386,11.920,0.080
387,11.600,0.080
388,11.600,0.080
389,11.360,0.080
390,11.360,0.080
391,11.040,0.080
392,11.040,0.080
393,10.800,0.080
394,10.800,0.080
395,10.480,0.080
396,10.480,0.080
397,10.240,0.080
398,10.240,0.080
399,9.920,0.080
400,9.920,0.080
401,9.440,0.080
402,9.440,0.080
403,9.120,0.060
404,9.120,0.060
405,8.800,0.080
406,8.800,0.080
407,8.400,0.080
408,8.400,0.080
409,8.000,0.080
410,8.000,0.080
411,7.600,0.060
412,7.600,0.060
413,7.280,0.080
414,7.280,0.080
415,6.800,0.080
416,6.800,0.080
417,6.400,0.080
418,6.400,0.080
419,6.000,0.080
420,6.000,0.080
421,5.600,0.080
422,5.600,0.080
423,5.120,0.080
424,5.120,0.080
425,4.720,0.080
426,4.720,0.080
427,4.240,0.100
428,4.240,0.100
429,3.760,0.080
430,3.760,0.080
431,3.360,0.080
432,3.360,0.080
433,2.880,0.060
434,2.880,0.060
435,2.400,0.080
436,2.400,0.080
437,1.920,0.080
438,1.920,0.080
439,1.520,0.080
440,1.520,0.080
441,0.960,0.060
442,0.960,0.060
443,0.640,0.080
444,0.640,0.080
445,0.240,0.080
446,0.240,0.080
447,0.000,0.060
448,0.000,0.060
449,-0.240,0.080
450,-0.240,0.080
451,-0.240,0.060
452,-0.240,0.060
453,-0.240,0.080
454,-0.240,0.080
455,-0.160,0.080
456,-0.160,0.080
457,-0.160,0.080
458,-0.160,0.080
459,-0.160,0.080
460,-0.160,0.080
461,-0.160,0.080
